"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"70","Micronesia (Federated States of)","FSM","Oceania","East Asia & Pacific",63.02715,21.00933,110.43,7.78563,2.95975,10.96,9.634,NA,25.97442,NA,NA,11.8226890563965,NA,2751.26866059503
"71","Gabon","GAB","Africa","Sub-Saharan Africa",66.46912,29.35667,2140.215,32.86885,13.76636,2.71,5.941,13,8.61671,85.6900024414062,"Libreville",8.25553798675537,21.469,6637.06610643483
"72","United Kingdom","GBR","Europe","Europe & Central Asia",81.40353,3.65057,66058.859,8.82901,1.28491,12.36,31.711,24.6,87.0162,NA,NA,13.8582963943481,3.571,47923.4822383348
"73","Georgia","GEO","Asia","Europe & Central Asia",73.2812,8.433,3728.004,16.92841,3.58139,8.42,54.047,28.936,45.5031,99.5749893188477,"Tbilisi",12.9356689453125,11.311,5438.60417739969
"74","Ghana","GHA","Africa","Sub-Saharan Africa",66.27741,32.58292,30222.262,50.42,6.10534,4.15,1.642,9,17.10768,80.379997253418,"Accra",12.1200742721558,3.867,2031.42833926476
"75","Gibraltar","GIB","Europe","Europe & Central Asia",NA,NA,32.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Guinea","GIN","Africa","Sub-Saharan Africa",61.00587,63.77699,12240.789,37.57394,4.46399,3.76,2.22,3,1.49014,45.3300018310547,"Conakry",6.99361658096313,5.749,994.436997186227
"77","Guadeloupe","GLP","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gambia","GMB","Africa","Sub-Saharan Africa",65.4712,34.00164,2381.182,39.10354,14.71196,3.19,0.773,11,12.44923,58.6699981689453,"Banjul",9.52009296417236,4.78,678.3617221291
"79","Guinea-Bissau","GNB","Africa","Sub-Saharan Africa",60.21801,49.96163,1879.826,31.47235,8.99736,8.22,2.198,10,2.89399,53.9000015258789,"Bissau",NA,3.583,621.85222608006
"80","Equatorial Guinea","GNQ","Africa","Sub-Saharan Africa",62.19166,57.18991,1450.694,27.06118,1.06843,3.4,3.495,21,13.94318,94.3705368041992,"Malabo",NA,8.689,5945.20168113974
"81","Greece","GRC","Europe","Europe & Central Asia",81.09948,3.26692,10754.679,15.57882,0.99257,9.17,63.06,42,56,93.9051132202148,"Athens",13.2888927459717,12.162,20287.7253030767
"82","Grenada","GRD","Americas","Latin America & Caribbean",72.88402,14.41901,120.921,10.22044,6.5974,5.7,13.136,35.70899,42.09026,98.4000015258789,"Saint George's",13.0994386672974,NA,8688.54780185774
"83","Greenland","GRL","Americas","Europe & Central Asia",NA,NA,56.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48514.5271286311
"84","Guatemala","GTM","Americas","Latin America & Caribbean",72.01939,19.55926,16087.418,20.74787,7.60238,6.9,12.802,4.41363,16,84.2699966430664,"Guatemala City",9.71248054504395,2.569,4504.12922283915
"85","French Guiana","GUF","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Guam","GUM","Oceania","East Asia & Pacific",NA,NA,168.606,NA,NA,NA,NA,NA,NA,99.5599975585938,"Agana",NA,6.134,31325.3962959769
"87","Guyana","GUY","Americas","Latin America & Caribbean",65.6929,23.21945,763.252,10.3348,9.89612,4.94,14.049,17.14725,34.30804,90.0299987792969,"Georgetown",12.2039461135864,12.358,17646.2159234068
"88","Hong Kong SAR China","HKG","Asia","East Asia & Pacific",NA,NA,7393.2,NA,NA,NA,NA,NA,NA,NA,NA,13.5414037704468,5.058,43369.7143017728
"89","Honduras","HND","Americas","Latin America & Caribbean",71.93507,14.23409,9626.842,19.41589,66.9019,9.16,4.893,6.42629,18.11987,88.5074310302734,"Tegucigalpa",9.59004306793213,7.099,2487.70561222524
"90","Croatia","HRV","Europe","Europe & Central Asia",78.63747,3.9244,4124.531,15.09122,0.87151,8.1,34.655,55.397,63,99.4499969482422,"Zagreb",13.390284538269,6.746,16610.3180919751
"91","Haiti","HTI","Americas","Latin America & Caribbean",64.05315,45.41017,10863.543,10.37548,20.68359,3.48,2.366,7.06974,10.8703,61.691349029541,"Port-au-Prince",11.3780002593994,14.836,1247.89238997842
"92","Hungary","HUN","Europe","Europe & Central Asia",76.44219,3.312,9787.966,16.06905,1.71515,7.38,32.906,70.1,72,99.0999984741211,"Budapest",12.9565553665161,3.423,16336.2411254742
"93","Indonesia","IDN","Asia","East Asia & Pacific",71.30966,18.88237,264498.852,19.3398,4.28871,3.71,6.95,10.4,15.36,95.9990081787109,"Jakarta",12.3883724212647,3.554,4073.61049423815
"94","Isle of Man","IMN","Europe","Europe & Central Asia",NA,NA,83.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86614.1156183997
"95","India","IND","Asia","South Asia",70.78756,25.48766,1354195.68,50.17359,5.52825,3.28,7.265,5.3,12.58006,76.3227767944336,"New Delhi",11.1249532699585,7.33,2089.7343826079
"96","Ireland","IRL","Europe","Europe & Central Asia",81.84092,2.74431,4807.388,8.67639,0.78196,6.72,40.622,29.7,79,NA,NA,13.9005393981934,4.362,97316.8775085729
"97","Iran","IRN","Asia","Middle East & North Africa",77.34517,10.87079,84505.076,30.69153,1.18963,5.77,15.138,15.6,25.99764,88.9599990844727,"Tehran",11.849552154541,10.964,5507.53339500769
"98","Iraq","IRQ","Asia","Middle East & North Africa",72.42317,20.74911,39621.162,37.96536,20.576,5.25,9.132,13.2,7.1,85.5999984741211,"Baghdad",6.93192768096924,15.547,4335.78313171525
"99","Iceland","ISL","Europe","Europe & Central Asia",82.32826,2.09606,343.4,6.06578,1.09087,9.73,38.914,28.3,96,NA,NA,13.4602708816528,3.809,56429.2997819032
"100","Israel","ISR","Asia","Middle East & North Africa",82.62151,2.68849,8713.3,18.76325,0.67356,7.9,36.539,29.8,73.36501,91.7514114379883,"",13.7629480361938,3.476,42710.7782216294
"101","Italy","ITA","Europe","Europe & Central Asia",82.97414,2.22988,60536.709,14.00555,0.91984,9.38,41.263,31.4,58,99.3490982055664,"Rome",13.2506809234619,8.094,33281.3366682385
"102","Jamaica","JAM","Americas","Latin America & Caribbean",75.97828,10.66955,2808.376,17.60203,21.27599,7.19,5.498,17.17473,46.5,79.9201202392578,"Kingston",11.3946399688721,6.049,5236.79025920025
"103","Jordan","JOR","Asia","Middle East & North Africa",77.87197,12.56445,10215.381,25.76326,2.66287,7.29,25.129,14.7,41,98.4199981689453,"Amman",11.1438150405884,17.874,3891.21222731747
"104","Japan","JPN","Asia","East Asia & Pacific",84.26138,1.73615,126972,11.32238,0.1829,10.82,26.141,129.8,79.05,NA,NA,13.6398515701294,2.641,36032.3944421352
"105","Kazakhstan","KAZ","Asia","Europe & Central Asia",73.95099,9.1445,18037.776,23.70282,8.28372,3.92,40.277,60.569,53.31567,99.8000030517578,"Astana",13.7080001831055,5.008,11290.8979383788
"106","Kenya","KEN","Africa","Sub-Saharan Africa",66.08511,27.98802,48948.137,10.00684,5.59667,4.55,2.26,14,32.09542,82.879997253418,"Nairobi",11.6346340179443,5.502,1754.58548035889
"107","Kyrgyzstan","KGZ","Asia","Europe & Central Asia",74.18089,15.55074,6198.2,36.19292,4.584,5.44,21.679,44.132,21.72351,99.5999984741211,"Bishkek",12.8724975585938,4.567,1182.91171605932
"108","Cambodia","KHM","Asia","East Asia & Pacific",70.12289,21.25577,15830.689,17.42911,3.5008,7.53,2.143,9,4.93986,83.7799987792969,"Phnom Penh",9.46578025817871,0.361,1488.81455084105
"109","Kiribati","KIR","Oceania","East Asia & Pacific",59.41902,38.25664,120.362,7.98411,2.323,14.81,1.942,18.6,10.7468,NA,NA,11.2123680114746,NA,1433.51632128416
"110","St. Kitts & Nevis","KNA","Americas","Latin America & Caribbean",NA,12.25287,47.785,7.6249,NA,6.16,30.335,NA,79.3489,NA,NA,12.9526405334473,NA,20428.4147408569
